MONDO,EFO
MONDO_0005003,EFO_0000342
MONDO_0006631,EFO_1000788
MONDO_0006632,EFO_1000789
MONDO_0006633,EFO_1000790
MONDO_0006032,EFO_1000025
MONDO_0006640,EFO_1000797
MONDO_0006638,EFO_1000795
MONDO_0006639,EFO_1000796
MONDO_0006636,EFO_1000793
MONDO_0006637,EFO_1000794
MONDO_0006635,EFO_1000792
MONDO_0006556,EFO_1000706
MONDO_0006557,EFO_1000707
MONDO_0006554,EFO_1000704
MONDO_0006555,EFO_1000705
MONDO_0006552,EFO_1000702
MONDO_0006553,EFO_1000703
MONDO_0006550,EFO_1000700
MONDO_0007046,EFO_1000708
MONDO_0006558,EFO_1000709
MONDO_0006559,EFO_1000710
MONDO_0006534,EFO_1000679
MONDO_0018746,EFO_1000680
MONDO_0006539,EFO_1000687
MONDO_0006540,EFO_1000688
MONDO_0007446,EFO_1000686
MONDO_0006537,EFO_1000682
MONDO_0006548,EFO_1000698
MONDO_0006549,EFO_1000699
MONDO_0006545,EFO_1000694
MONDO_0006546,EFO_1000695
MONDO_0006543,EFO_1000692
MONDO_0006544,EFO_1000693
MONDO_0006323,EFO_1000401
MONDO_0006324,EFO_1000402
MONDO_0006329,EFO_1000407
MONDO_0005072,EFO_0000621
MONDO_0006330,EFO_1000408
MONDO_0006327,EFO_1000405
MONDO_0006328,EFO_1000406
MONDO_0006325,EFO_1000403
MONDO_0006326,EFO_1000404
MONDO_0003792,EFO_1000412
MONDO_0006337,EFO_1000418
MONDO_0005558,EFO_0005771
MONDO_0011366,EFO_1000419
MONDO_0005461,EFO_0005232
MONDO_0006336,EFO_1000417
MONDO_0003581,EFO_1000415
MONDO_0005440,EFO_0004986
MONDO_0011996,EFO_0000339
MONDO_0006339,EFO_1000424
MONDO_0005227,EFO_0003030
MONDO_0006340,EFO_1000428
MONDO_0006343,EFO_1000435
MONDO_0003494,EFO_1000432
MONDO_0003795,EFO_1000431
MONDO_0005611,EFO_0006544
MONDO_0005336,EFO_0004145
MONDO_0004950,EFO_0000178
MONDO_0007959,EFO_0002939
MONDO_0007256,EFO_0000182
MONDO_0005697,EFO_0007200
MONDO_0002268,EFO_0008533
MONDO_0005146,EFO_0001358
MONDO_0005700,EFO_0007204
MONDO_0005699,EFO_0007203
MONDO_0005698,EFO_0007202
MONDO_0015908,EFO_0007207
MONDO_0005701,EFO_0007205
MONDO_0005100,EFO_0000717
MONDO_0005704,EFO_0007209
MONDO_0006180,EFO_1000217
MONDO_0005717,EFO_0007222
MONDO_0005716,EFO_0007221
MONDO_0005545,EFO_0005681
MONDO_0005715,EFO_0007220
MONDO_0002514,EFO_0008550
MONDO_0021223,EFO_0008549
MONDO_0005720,EFO_0007225
MONDO_0005719,EFO_0007224
MONDO_0005315,EFO_0003931
MONDO_0005718,EFO_0007223
MONDO_0005724,EFO_0007229
MONDO_0005723,EFO_0007228
MONDO_0005722,EFO_0007227
MONDO_0005706,EFO_0007211
MONDO_0005705,EFO_0007210
MONDO_0005135,EFO_0001067
MONDO_0005078,EFO_0000653
MONDO_0000001,EFO_0000408
MONDO_0005710,EFO_0007215
MONDO_0005709,EFO_0007214
MONDO_0005708,EFO_0007213
MONDO_0005707,EFO_0007212
MONDO_0005714,EFO_0007219
MONDO_0017361,EFO_0007218
MONDO_0005712,EFO_0007217
MONDO_0005711,EFO_0007216
MONDO_0005734,EFO_0007240
MONDO_0009144,EFO_0007244
MONDO_0005737,EFO_0007243
MONDO_0005736,EFO_0007242
MONDO_0016472,EFO_0007241
MONDO_0005740,EFO_0007247
MONDO_0005739,EFO_0007246
MONDO_0005738,EFO_0007245
MONDO_0005742,EFO_0007249
MONDO_0005047,EFO_0000545
MONDO_0005728,EFO_0007233
MONDO_0015484,EFO_0007231
MONDO_0005725,EFO_0007230
MONDO_0005731,EFO_0007237
MONDO_0007127,EFO_0007236
MONDO_0005730,EFO_0007235
MONDO_0005729,EFO_0007234
MONDO_0015636,EFO_0007239
MONDO_0015260,EFO_0007238
MONDO_0015243,EFO_0007140
MONDO_0005657,EFO_0007157
MONDO_0005645,EFO_0007145
MONDO_0005644,EFO_0007144
MONDO_0005643,EFO_0007142
MONDO_0005649,EFO_0007149
MONDO_0005648,EFO_0007148
MONDO_0005647,EFO_0007147
MONDO_0007743,EFO_0003888
MONDO_0015200,EFO_0007146
MONDO_0019383,EFO_0007130
MONDO_0005636,EFO_0007134
MONDO_0005635,EFO_0007133
MONDO_0011716,EFO_0007132
MONDO_0005634,EFO_0007131
MONDO_0005640,EFO_0007138
MONDO_0005639,EFO_0007137
MONDO_0005109,EFO_0000764
MONDO_0005638,EFO_0007136
MONDO_0005578,EFO_0005856
MONDO_0005641,EFO_0007139
MONDO_0005662,EFO_0007163
MONDO_0005661,EFO_0007162
MONDO_0005660,EFO_0007161
MONDO_0008558,EFO_0007160
MONDO_0005665,EFO_0007167
MONDO_0005664,EFO_0007166
MONDO_0005663,EFO_0007165
MONDO_0007416,EFO_0007164
MONDO_0005667,EFO_0007169
MONDO_0005652,EFO_0007152
MONDO_0005651,EFO_0007151
MONDO_0005650,EFO_0007150
MONDO_0005656,EFO_0007156
MONDO_0005655,EFO_0007155
MONDO_0005654,EFO_0007154
MONDO_0016466,EFO_0007153
MONDO_0005659,EFO_0007159
MONDO_0005658,EFO_0007158
MONDO_0005679,EFO_0007181
MONDO_0005678,EFO_0007180
MONDO_0005683,EFO_0007185
MONDO_0005682,EFO_0007184
MONDO_0015925,EFO_0004244
MONDO_0005680,EFO_0007182
MONDO_0005619,EFO_0006789
MONDO_0005687,EFO_0007189
MONDO_0021641,EFO_0007188
MONDO_0019082,EFO_0007187
MONDO_0005684,EFO_0007186
MONDO_0005668,EFO_0007170
MONDO_0005672,EFO_0007174
MONDO_0005670,EFO_0007172
MONDO_0005136,EFO_0001068
MONDO_0005669,EFO_0007171
MONDO_0005676,EFO_0007178
MONDO_0005675,EFO_0007177
MONDO_0005673,EFO_0007175
MONDO_0005677,EFO_0007179
MONDO_0005689,EFO_0007191
MONDO_0005303,EFO_0003890
MONDO_0005688,EFO_0007190
MONDO_0005693,EFO_0007196
MONDO_0005692,EFO_0007195
MONDO_0005691,EFO_0007194
MONDO_0009376,EFO_0007193
MONDO_0005696,EFO_0007199
MONDO_0005695,EFO_0007198
MONDO_0006264,EFO_1000319
MONDO_0006262,EFO_1000317
MONDO_0018310,EFO_1000318
MONDO_0004829,EFO_1000316
MONDO_0005092,EFO_0000698
MONDO_0006268,EFO_1000323
MONDO_0018905,EFO_0000403
MONDO_0006265,EFO_1000320
MONDO_0006266,EFO_1000321
MONDO_0006272,EFO_1000328
MONDO_0006273,EFO_1000329
MONDO_0006270,EFO_1000326
MONDO_0006271,EFO_1000327
MONDO_0006278,EFO_1000335
MONDO_0006279,EFO_1000336
MONDO_0003050,EFO_0003050
MONDO_0006276,EFO_1000333
MONDO_0006277,EFO_1000334
MONDO_0006275,EFO_1000332
MONDO_0006274,EFO_1000330
MONDO_0005198,EFO_0002627
MONDO_0006282,EFO_1000339
MONDO_0006280,EFO_1000337
MONDO_0006281,EFO_1000338
MONDO_0006286,EFO_1000346
MONDO_0006287,EFO_1000347
MONDO_0006284,EFO_1000344
MONDO_0006285,EFO_1000345
MONDO_0006283,EFO_1000340
MONDO_0006288,EFO_1000348
MONDO_0004974,EFO_0000239
MONDO_0005853,EFO_1000356
MONDO_0006291,EFO_1000353
MONDO_0006290,EFO_1000352
MONDO_0006300,EFO_1000368
MONDO_0006298,EFO_1000366
MONDO_0019024,EFO_1000364
MONDO_0006297,EFO_1000365
MONDO_0006295,EFO_1000363
MONDO_0006304,EFO_1000379
MONDO_0006302,EFO_1000377
MONDO_0006303,EFO_1000378
MONDO_0006301,EFO_1000373
MONDO_0006306,EFO_1000382
MONDO_0006307,EFO_1000383
MONDO_0003910,EFO_1000380
MONDO_0006311,EFO_1000388
MONDO_0006312,EFO_1000389
MONDO_0006309,EFO_1000386
MONDO_0005036,EFO_0000503
MONDO_0002200,EFO_1000385
MONDO_0006316,EFO_1000393
MONDO_0005462,EFO_0005235
MONDO_0006317,EFO_1000394
MONDO_0006314,EFO_1000391
MONDO_0006313,EFO_1000390
MONDO_0006321,EFO_1000399
MONDO_0006320,EFO_1000397
MONDO_0016985,EFO_1000395
MONDO_0016984,EFO_1000396
MONDO_0005217,EFO_0002945
MONDO_0005515,EFO_0005570
MONDO_0005322,EFO_0003950
MONDO_0006391,EFO_1000501
MONDO_0006397,EFO_1000508
MONDO_0006396,EFO_1000506
MONDO_0005484,EFO_0005406
MONDO_0006394,EFO_1000504
MONDO_0006395,EFO_1000505
MONDO_0006392,EFO_1000502
MONDO_0006393,EFO_1000503
MONDO_0006398,EFO_1000510
MONDO_0006405,EFO_1000519
MONDO_0006404,EFO_1000517
MONDO_0006402,EFO_1000515
MONDO_0006403,EFO_1000516
MONDO_0006400,EFO_1000513
MONDO_0006401,EFO_1000514
